Title,Author,Genre,Link,Updates,Views,Subscribers,Rating,Age Rating,Status
Duchess in Ruins,Candlebambi,Romance,https://www.webtoons.com/en/romance/duchess-in-ruins/list?title_no=7109,UPEVERY MONDAY,8.7M,493332,9.29,This series is rated Young Adult. Please review the Content Ratings page for more information.,This is a Global Launch series with new episodes publishing simultaneously worldwide.
The Reborn Young Lordis an Assassin,swingbat,Fantasy,https://www.webtoons.com/en/fantasy/the-reborn-young-lord-is-an-assassin/list?title_no=6107,UPEVERY MONDAY,29.4M,942670,9.5,This series is rated Young Adult. Please review the Content Ratings page for more information.,This is a Global Launch series with new episodes publishing simultaneously worldwide.
The Beloved Incompetent Stepmom,Tsuruko Maruko,Romance,https://www.webtoons.com/en/romance/the-beloved-incompetent-stepmom/list?title_no=7492,UPEVERY MONDAY,1.4M,189702,9.5,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
A Savage Proposal,Lee yuna,Romance,https://www.webtoons.com/en/romance/a-savage-proposal/list?title_no=7121,UPEVERY MONDAY,9.7M,657271,8.07,This series is rated Young Adult. Please review the Content Ratings page for more information.,This is a Global Launch series with new episodes publishing simultaneously worldwide.
SubZero,Junepurrr,Romance,https://www.webtoons.com/en/romance/subzero/list?title_no=1468,UPEVERY MONDAY,404.1M,3.1M,9.75,N/A,N/A
I'm the Queen in This Life,Themis,Fantasy,https://www.webtoons.com/en/fantasy/im-the-queen-in-this-life/list?title_no=4886,UPEVERY MONDAY,95.6M,1.2M,9.56,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Extra's Academy Survival Guide,Korita,Fantasy,https://www.webtoons.com/en/fantasy/the-extras-academy-survival-guide/list?title_no=6465,UPEVERY MONDAY,9.9M,239132,9.72,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
I Grabbed the Leashof the Blind Beast,The Greedy Gatsby,Romance,https://www.webtoons.com/en/romance/i-grabbed-the-leash-of-the-blind-beast/list?title_no=7169,UPEVERY MONDAY,6.3M,263748,8.5,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Hidden Class Gravity User,Nekoko,Fantasy,https://www.webtoons.com/en/fantasy/hidden-class-gravity-user/list?title_no=6679,UPEVERY MONDAY,9.5M,294793,7.63,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
You Can't Kill Me:The Secret Bride of the Black Wolf,HAEMIN,Romance,https://www.webtoons.com/en/romance/you-cant-kill-me-the-secret-bride-of-the-black-wolf/list?title_no=6748,UPEVERY MONDAY,9.2M,419208,9.45,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Perfect Contract,TTUSOL,Romance,https://www.webtoons.com/en/romance/the-perfect-contract/list?title_no=6756,UPEVERY MONDAY,9.5M,327942,9.5,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
I'll Take That MarriageThis Time,pparappa,Romance,https://www.webtoons.com/en/romance/ill-take-that-marriage-this-time/list?title_no=7480,UPEVERY MONDAY,1.8M,166307,9.13,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Reason for theTwin Lady's Disguise,Amamiya Ley.,Romance,https://www.webtoons.com/en/romance/the-reason-for-the-twin-ladys-disguise/list?title_no=6315,UPEVERY MONDAY,25.6M,434240,8.54,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
At Your Mercy,Team Lightsalt,Fantasy,https://www.webtoons.com/en/fantasy/at-your-mercy/list?title_no=7122,UPEVERY MONDAY,5M,254914,8.5,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
On the Way to Meet Mom,GOMYANG,Fantasy,https://www.webtoons.com/en/fantasy/on-the-way-to-meet-mom/list?title_no=7525,UPEVERY MONDAY,826944,124714,9.94,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The World After the Fall,singNsong,Action,https://www.webtoons.com/en/action/the-world-after-the-fall/list?title_no=4011,UPEVERY MONDAY,78M,1.1M,9.68,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
My Giant Nerd Boyfriend,fishball,Slice of life,https://www.webtoons.com/en/slice-of-life/my-giant-nerd-boyfriend/list?title_no=958,"UPEVERY MON, WED, FRI",827.2M,2.4M,9.73,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
My Clueless Love Diary,Yonghyun,Romance,https://www.webtoons.com/en/romance/my-clueless-love-diary/list?title_no=7494,UPEVERY MONDAY,1.1M,128977,9.42,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
My Beloved Oppressor,LICO,Drama,https://www.webtoons.com/en/drama/my-beloved-oppressor/list?title_no=6298,UPEVERY MONDAY,13.3M,336452,7.65,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Monster Princess of theSnowy Mountain,Lee Nakeum,Fantasy,https://www.webtoons.com/en/fantasy/monster-princess-of-the-snowy-mountain/list?title_no=6534,UPEVERY MONDAY,8.4M,261569,9.14,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Fallen to Paradise,BY,Romance,https://www.webtoons.com/en/romance/fallen-to-paradise/list?title_no=6209,UPEVERY MONDAY,11.8M,320488,9.48,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Praesepe Outside the Cage,Chasam,Romance,https://www.webtoons.com/en/romance/praesepe-outside-the-cage/list?title_no=7587,UPEVERY MONDAY,793622,83725,9.2,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Merman Trapped in My Lake,R.PPOBI,Romance,https://www.webtoons.com/en/romance/the-merman-trapped-in-my-lake/list?title_no=7493,UPEVERY MONDAY,863770,103180,9.27,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
A Husband I Didn't Expect,Got W,Romance,https://www.webtoons.com/en/romance/a-husband-i-didnt-expect/list?title_no=7498,UPEVERY MONDAY,372360,66791,8.09,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
I Stole the First Ranker's Soul,LEE JUNG,Fantasy,https://www.webtoons.com/en/fantasy/i-stole-the-first-rankers-soul/list?title_no=5551,UPEVERY MONDAY,11.9M,218931,9.71,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Weapon Creator,Cookie poet,Action,https://www.webtoons.com/en/action/weapon-creator/list?title_no=5956,UPEVERY MONDAY,11M,272018,9.13,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
The Laws of Cultivation,AETHON,Action,https://www.webtoons.com/en/action/the-laws-of-cultivation/list?title_no=7132,UPEVERY MONDAY,1.8M,120031,8.93,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Transference,Hyang-yu,Romance,https://www.webtoons.com/en/romance/transference/list?title_no=7406,UPEVERY MONDAY,1.3M,114052,9.56,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Dark Mermaid,DDOGAK,Fantasy,https://www.webtoons.com/en/fantasy/dark-mermaid/list?title_no=6671,UPEVERY MONDAY,3.4M,129746,9.71,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
To Tame a Fire,hilluhri,Supernatural,https://www.webtoons.com/en/supernatural/to-tame-a-fire/list?title_no=3763,UPEVERY MONDAY,22.6M,425034,9.61,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Hero of All Trades,KyuYoung,Action,https://www.webtoons.com/en/action/hero-of-all-trades/list?title_no=7401,UPEVERY MONDAY,1.1M,89348,9.24,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Wind Breaker,Yongseok Jo,Sports,https://www.webtoons.com/en/sports/wind-breaker/list?title_no=372,UPEVERY MONDAY,581.4M,2.2M,9.92,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Becoming the Monarch,2631,Fantasy,https://www.webtoons.com/en/fantasy/becoming-the-monarch/list?title_no=5549,UPEVERY MONDAY,7.1M,138618,9.55,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Little Hollow Caf�,Vivian Ha,Slice of life,https://www.webtoons.com/en/slice-of-life/little-hollow-cafe/list?title_no=7133,UPEVERY MONDAY,1.2M,98445,9.34,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
It's Just Business,youngha,Romance,https://www.webtoons.com/en/romance/its-just-business/list?title_no=6201,UPEVERY MONDAY,9.9M,321817,9.48,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
The Barbarian of Seoul Station,LICO,Action,https://www.webtoons.com/en/action/the-barbarian-of-seoul-station/list?title_no=6945,UPEVERY MONDAY,1.4M,71866,8.81,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Mage and Mimic,Feathermage,Comedy,https://www.webtoons.com/en/comedy/mage-and-mimic/list?title_no=5973,"UPEVERY MON, THU",5.5M,102725,9.52,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Absolute Reign,sidae,Action,https://www.webtoons.com/en/action/absolute-reign/list?title_no=7366,UPEVERY MONDAY,827350,71072,9.64,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Ingrid the Plague Doctor,Harry Amoros,Slice of life,https://www.webtoons.com/en/slice-of-life/ingrid-the-plague-doctor/list?title_no=3415,"UPEVERY MON, THU, SAT",23.7M,146438,9.46,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Game Master,hibnkuma,Fantasy,https://www.webtoons.com/en/fantasy/game-master/list?title_no=7403,UPEVERY MONDAY,901818,74661,9.15,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Lord of Goblins,Moonquill,Fantasy,https://www.webtoons.com/en/fantasy/lord-of-goblins/list?title_no=5227,UPEVERY MONDAY,10M,235025,9.24,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Skool of Street,Slanket,Sports,https://www.webtoons.com/en/sports/skool-of-street/list?title_no=6743,UPEVERY MONDAY,2.4M,107277,9.71,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
My Stepdaughter is a Bunny,Karin Park,Fantasy,https://www.webtoons.com/en/fantasy/my-stepdaughter-is-a-bunny/list?title_no=6747,UPEVERY MONDAY,3.5M,134163,8.67,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Heart Acres,EA Denich,Romance,https://www.webtoons.com/en/romance/heart-acres/list?title_no=5203,UPEVERY MONDAY,1.5M,67774,8.9,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
To Die or To Fall In Love,HONEYB,Romance,https://www.webtoons.com/en/romance/to-die-or-to-fall-in-love/list?title_no=6991,UPEVERY MONDAY,1.6M,96561,8.21,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
